--- Samsung Health Diagnostic Results ---
Found 100463 total points. Showing 221 matching points.

TYPE                 | SOURCE                    | VALUE           | FROM
--------------------------------------------------------------------------------
STEPS                | com.sec.android.app.shealth              | 6788.0 COUNT    | 2026-02-28T00:00:00.000
STEPS                | com.sec.android.app.shealth              | 14119.0 COUNT   | 2026-03-01T00:00:00.000
STEPS                | com.sec.android.app.shealth              | 4486.0 COUNT    | 2026-03-02T00:00:00.000
STEPS                | com.sec.android.app.shealth              | 4446.0 COUNT    | 2026-03-03T00:00:00.000
STEPS                | com.sec.android.app.shealth              | 8762.0 COUNT    | 2026-03-04T00:00:00.000
STEPS                | com.sec.android.app.shealth              | 6079.0 COUNT    | 2026-03-05T00:00:00.000
STEPS                | com.sec.android.app.shealth              | 1079.0 COUNT    | 2026-03-06T00:00:00.000
STEPS                | com.sec.android.app.shealth              | 10812.0 COUNT   | 2026-03-07T00:00:00.000
STEPS                | com.sec.android.app.shealth              | 13721.0 COUNT   | 2026-03-08T00:00:00.000
STEPS                | com.sec.android.app.shealth              | 11168.0 COUNT   | 2026-03-09T00:00:00.000
STEPS                | com.sec.android.app.shealth              | 17598.0 COUNT   | 2026-03-10T00:00:00.000
STEPS                | com.sec.android.app.shealth              | 10826.0 COUNT   | 2026-03-11T00:00:00.000
STEPS                | com.sec.android.app.shealth              | 4756.0 COUNT    | 2026-03-12T00:00:00.000
STEPS                | com.sec.android.app.shealth              | 13476.0 COUNT   | 2026-03-13T00:00:00.000
STEPS                | com.sec.android.app.shealth              | 10434.0 COUNT   | 2026-03-14T00:00:00.000
STEPS                | com.sec.android.app.shealth              | 15274.0 COUNT   | 2026-03-15T00:00:00.000
STEPS                | com.sec.android.app.shealth              | 8745.0 COUNT    | 2026-03-16T00:00:00.000
STEPS                | com.sec.android.app.shealth              | 4899.0 COUNT    | 2026-03-17T00:00:00.000
BASAL_ENERGY_BURNED  | com.sec.android.app.shealth              | 1580.0 KILOCALORIE | 2026-03-13T16:18:34.233
BASAL_ENERGY_BURNED  | com.sec.android.app.shealth              | 1596.0 KILOCALORIE | 2026-03-15T23:46:35.634
BASAL_ENERGY_BURNED  | com.sec.android.app.shealth              | 1617.0 KILOCALORIE | 2026-03-17T08:32:37.064
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 177.0 KILOCALORIE | 2026-03-01T08:53:04.817
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 310.2 KILOCALORIE | 2026-03-01T09:23:24.433
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 227.0 KILOCALORIE | 2026-03-01T10:06:01.645
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 71.0 KILOCALORIE | 2026-03-02T09:36:01.702
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 595.3 KILOCALORIE | 2026-03-02T09:57:01.002
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 193.0 KILOCALORIE | 2026-03-02T11:16:44.725
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 29.6 KILOCALORIE | 2026-03-03T13:38:04.270
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 534.2 KILOCALORIE | 2026-03-03T13:43:43.636
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 98.2 KILOCALORIE | 2026-03-03T14:50:51.573
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 65.0 KILOCALORIE | 2026-03-04T10:10:40.036
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 27.4 KILOCALORIE | 2026-03-04T10:21:14.178
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 366.0 KILOCALORIE | 2026-03-04T10:27:17.274
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 369.5 KILOCALORIE | 2026-03-04T17:53:11.231
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 66.0 KILOCALORIE | 2026-03-05T07:09:22.771
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 193.7 KILOCALORIE | 2026-03-07T21:35:27.851
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 473.0 KILOCALORIE | 2026-03-08T10:33:48.389
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 103.0 KILOCALORIE | 2026-03-08T12:35:05.472
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 34.4 KILOCALORIE | 2026-03-09T09:53:25.116
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 463.3 KILOCALORIE | 2026-03-09T10:00:57.796
